,City,Price,Bedroom,Bathroom,Face,Road,Amenities,Unit,New_Area,Road_Width,Number of Amenities
1318,Bhaktapur,1050000,0,0,East,14 Feet / Blacktopped,[''],Aana,18.0,14,1
1319,Kathmandu,4200000,0,0,North East,20 Feet / Blacktopped,[''],Aana,8.0,20,1
1320,Kathmandu,62000000,4,6,East,15 Feet / Blacktopped,"[""'Modular Kitchen'"", "" 'Microwave'"", "" 'TV Cable'"", "" 'Garden'"", "" 'Backyard'"", "" 'Frontyard'"", "" 'Balcony'""]",Aana,10.0,15,7
1321,Kathmandu,42500000,6,6,South,15 Feet / Blacktopped,"[""'Modular Kitchen'"", "" 'TV Cable'"", "" 'Balcony'""]",Aana,6.0,15,3
1322,Kathmandu,24500000,5,5,East,30 Feet / Gravelled,"[""'Modular Kitchen'"", "" 'TV Cable'""]",Aana,4.0,30,2
1323,Kathmandu,45000000,6,6,South West,15 Feet / Blacktopped,"[""'Garden'"", "" 'TV Cable'"", "" 'Modular Kitchen'"", "" 'Microwave'"", "" 'Balcony'"", "" 'Backyard'"", "" 'Frontyard'""]",Aana,8.0,15,7
1324,Kathmandu,33000000,0,0,South West,18 Feet / Blacktopped,"[""'Garden'"", "" 'Frontyard'"", "" 'Modular Kitchen'"", "" 'TV Cable'""]",Aana,6.5,18,4
1326,Lalitpur,46500000,0,0,East,21 Feet / Blacktopped,"[""'TV Cable'"", "" 'Balcony'"", "" 'Air Condition'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Water Well'"", "" 'Solar Water'""]",Aana,4.0,21,9
1327,Kathmandu,34000000,5,0,South,15 Feet / Blacktopped,"[""'Garage'"", "" 'Balcony'"", "" 'Modular Kitchen'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Water Tank'"", "" 'Water Well'"", "" 'Parking'""]",Aana,4.0,15,10
1335,Kathmandu,110000,3,3,East,12 Feet / Blacktopped,[''],Aana,6.0,12,1
1340,Kathmandu,42000000,0,0,North,20 Feet / Blacktopped,[''],Aana,4.0,20,1
1349,Kathmandu,2000000,0,0,West,12 Feet / Gravelled,[''],Aana,5.0,12,1
1357,Lalitpur,150000000,10,10,South,20 Feet / Blacktopped,"[""'Balcony'"", "" 'Garden'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'"", "" 'Water Well'""]",Aana,17.0,20,9
1359,Lalitpur,18000000,4,5,North,13 Feet / Soil Stabilized,"[""'Garage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'TV Cable'"", "" 'Balcony'"", "" 'Modular Kitchen'"", "" 'Water Tank'""]",Aana,0.3,13,7
1360,Kathmandu,2700000,0,0,East,13 Feet / Gravelled,[''],Aana,5.0,13,1
1362,Kathmandu,46000000,0,0,South West,13 Feet / Blacktopped,"[""'Balcony'"", "" 'TV Cable'"", "" 'Wifi'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Solar Water'"", "" 'Water Tank'""]",Aana,8.0,13,7
1364,Lalitpur,3200000,0,0,East,12 Feet / Blacktopped,[''],Aana,21.0,12,1
1365,Kathmandu,1900000,0,0,South West,16 Feet / Blacktopped,[''],Aana,4.0,16,1
1366,Kathmandu,19000000,6,3,North East,0 Feet,"[""'Backyard'"", "" 'Balcony'"", "" 'Fencing'"", "" 'Drainage'"", "" 'Water Supply'"", "" 'Modular Kitchen'"", "" 'Water Well'"", "" 'Water Tank'"", "" 'Solar Water'"", "" 'Washing Machine'""]",Aana,3.2,0,10
